,State,Household Income,Total State Population,Percent Uninsured,Percent Adult Smokers,Asthma Sample Size,Asthma Prevalence (percent),Asthma Prevalence Number,COPD State Population,COPD Medicare Hospitalizations,COPD Medicare Hospitalizations (percent per 1000),COPD Deaths,"COPD Death Rate (percent per 100,000)",Lung & Bronchus Cancer Case Count,Total Surveyed for Lung Cancer per State,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Days Ozone,Days PM2.5,Days PM10
20,Minnesota,54521.49425287356,5519952.0,9.555555555555555,15.88888888888889,16770.0,11.2,473375.0,187000.0,3910.0,12.7,2273.0,35.1,146.33333333333334,7106.0,306.2,28.65,0.6,0.05,0.0,0.0,102.55,153.8,159.2,15.95
21,Mississippi,35659.4756097561,2988726.0,19.636363636363637,20.0,5112.0,12.7,287173.0,173000.0,5040.0,14.3,1865.0,55.3,161.2716049382716,4829.0,253.9090909090909,35.90909090909091,0.09090909090909091,0.0,0.0,0.0,85.18181818181819,177.72727272727272,104.81818181818181,0.0
22,Missouri,41522.63478260869,6093000.0,15.842105263157896,20.57894736842105,7097.0,14.4,680511.0,387000.0,7587.0,12.2,3843.0,51.4,237.4561403508772,9606.0,256.69565217391306,40.21739130434783,1.5217391304347827,0.08695652173913043,0.0,0.0,101.91304347826087,159.91304347826087,85.95652173913044,12.130434782608695
23,Montana,44111.94642857143,1042520.0,21.647058823529413,18.764705882352942,5954.0,12.8,104638.0,45000.0,918.0,7.0,663.0,48.8,88.6,2668.0,270.6842105263158,36.31578947368421,2.736842105263158,0.2631578947368421,0.0,0.05263157894736842,116.6842105263158,110.36842105263158,170.05263157894737,25.36842105263158
24,Nebraska,49535.7311827957,1907116.0,13.333333333333334,16.555555555555557,15144.0,12.4,178771.0,77000.0,2061.0,8.9,1127.0,50.0,94.625,3572.0,191.3,21.4,0.7,0.0,0.0,0.0,78.2,74.0,99.7,37.4
25,Nevada,54786.58823529412,2940058.0,21.5,17.125,4329.0,11.6,263892.0,145000.0,2079.0,9.0,1591.0,53.2,619.3571428571429,8291.0,279.6666666666667,72.55555555555556,4.111111111111111,0.0,0.1111111111111111,0.1111111111111111,151.0,209.66666666666666,63.111111111111114,79.0
26,New Hampshire,60127.3,1334795.0,14.0,16.571428571428573,6391.0,16.4,176137.0,70000.0,1794.0,9.5,681.0,40.3,549.4,4489.0,316.14285714285717,32.714285714285715,1.4285714285714286,0.0,0.0,0.0,99.85714285714286,306.7142857142857,42.285714285714285,0.0
27,New Jersey,72135.28571428571,8944469.0,15.125,15.125,7640.0,12.0,838632.0,341000.0,10454.0,10.1,3057.0,28.2,1416.857142857143,25552.0,261.8125,77.3125,5.0625,0.375,0.0,0.0,137.8125,202.3125,114.9375,0.6875
28,New Mexico,40620.878787878784,2081015.0,22.1875,17.3125,6008.0,16.3,258385.0,94000.0,1530.0,8.1,1079.0,43.4,180.1851851851852,3963.0,228.1875,55.125,1.125,0.25,0.0,0.0625,119.5625,185.3125,67.0625,31.125
29,New York,54317.58064516129,19745289.0,11.03448275862069,14.758620689655173,34113.0,13.8,2153806.0,882000.0,20489.0,12.3,6755.0,28.3,1113.1129032258063,57201.0,310.3448275862069,40.310344827586206,3.0689655172413794,0.06896551724137931,0.0,0.0,119.03448275862068,255.3448275862069,83.93103448275862,0.0
30,North Carolina,42129.54,10146788.0,19.157894736842106,19.026315789473685,6523.0,12.5,980147.0,573000.0,10632.0,11.2,5077.0,44.1,401.87,22092.0,242.39473684210526,49.89473684210526,1.605263157894737,0.4473684210526316,0.0,0.0,113.94736842105263,182.3421052631579,91.07894736842105,5.5
31,North Dakota,55238.981132075474,757952.0,11.333333333333334,18.0,5734.0,12.8,75615.0,30000.0,695.0,8.4,340.0,38.7,72.9,963.0,349.6,13.0,0.4,0.0,0.0,0.0,93.7,273.4,40.3,39.8
32,Ohio,48443.27272727273,11614373.0,12.975609756097562,19.73170731707317,12350.0,14.0,1262909.0,705000.0,16189.0,16.7,7000.0,48.0,560.0909090909091,38677.0,252.58536585365854,60.36585365853659,3.5121951219512195,0.12195121951219512,0.0,0.0,109.8780487804878,162.5609756097561,110.02439024390245,7.219512195121951
33,Oklahoma,43818.77922077922,3923561.0,21.333333333333332,21.333333333333332,6855.0,14.1,417262.0,255000.0,5563.0,12.6,2863.0,64.3,212.45205479452054,10238.0,279.2,41.28,0.52,0.04,0.0,0.0,93.8,217.36,56.92,26.8
34,Oregon,45943.333333333336,4093465.0,18.0,16.0,5421.0,17.2,551646.0,174000.0,2442.0,7.6,2037.0,40.7,405.8484848484849,11440.0,305.40909090909093,37.68181818181818,0.3181818181818182,0.045454545454545456,0.0,0.0,90.81818181818181,65.54545454545455,274.72727272727275,0.4090909090909091
35,Pennsylvania,50093.22388059701,12784227.0,11.447368421052632,18.894736842105264,6791.0,14.8,1499882.0,701000.0,17795.0,14.9,6457.0,36.7,804.223880597015,46769.0,269.2894736842105,88.39473684210526,4.157894736842105,0.02631578947368421,0.02631578947368421,0.0,125.28947368421052,232.02631578947367,115.47368421052632,1.0789473684210527
36,Rhode Island,63471.0,1056426.0,11.666666666666666,14.666666666666666,5441.0,15.8,133893.0,52000.0,1435.0,15.2,498.0,35.8,932.0,4083.0,307.0,49.0,4.0,0.3333333333333333,0.0,0.0,146.0,213.0,132.0,0.0
37,South Carolina,40297.391304347824,4961119.0,18.7,19.9,11209.0,13.4,518111.0,272000.0,5666.0,10.0,2828.0,48.5,429.0217391304348,14196.0,253.15,39.9,1.15,0.55,0.0,0.0,115.8,192.1,85.0,16.3
38,South Dakota,47572.48484848485,865454.0,11.88888888888889,15.666666666666666,5752.0,9.3,60515.0,36000.0,976.0,9.4,488.0,44.0,69.225,1599.0,312.8,26.2,0.6,0.0,0.0,0.0,90.1,185.8,105.8,43.0
39,Tennessee,40645.47368421053,6651194.0,15.833333333333334,21.916666666666668,6150.0,16.1,832761.0,486000.0,9875.0,15.7,4151.0,53.7,312.2631578947368,16583.0,199.75,44.833333333333336,2.5,0.4583333333333333,0.0,0.0,112.58333333333333,156.66666666666666,72.54166666666667,1.8333333333333333
40,Texas,46934.76771653543,27862596.0,24.26086956521739,15.652173913043478,11683.0,12.5,2594843.0,1032000.0,22975.0,11.7,9939.0,40.2,329.265,45766.0,263.5531914893617,46.08510638297872,2.0638297872340425,0.10638297872340426,0.0,0.0,101.31914893617021,202.10638297872342,99.14893617021276,0.2765957446808511
41,Utah,55321.620689655174,3051217.0,14.636363636363637,9.909090909090908,10947.0,13.8,293926.0,75000.0,683.0,3.7,770.0,32.3,159.45,2898.0,237.42857142857142,79.35714285714286,7.214285714285714,1.0714285714285714,0.14285714285714285,0.0,124.85714285714286,251.57142857142858,60.0,0.9285714285714286
42,Vermont,51034.357142857145,624594.0,9.0,15.0,6518.0,15.6,78778.0,31000.0,660.0,6.9,345.0,41.0,187.28571428571428,1171.0,279.75,21.5,0.25,0.0,0.0,0.0,83.0,217.0,81.5,0.0
43,Virginia,52826.203007518794,8411808.0,13.80952380952381,16.523809523809526,8964.0,13.3,874713.0,374000.0,7248.0,8.1,3258.0,35.8,207.0909090909091,8598.0,227.8235294117647,25.970588235294116,1.088235294117647,0.0,0.0,0.0,91.26470588235294,139.91176470588235,71.52941176470588,10.882352941176471
44,Washington,50873.38461538462,7288000.0,18.586206896551722,15.10344827586207,14210.0,14.9,843964.0,335000.0,3608.0,5.4,3016.0,37.9,577.3684210526316,21125.0,317.44827586206895,30.344827586206897,0.7931034482758621,0.1724137931034483,0.0,0.0,88.17241379310344,53.3448275862069,287.44827586206895,3.896551724137931
45,West Virginia,39391.8,1831102.0,17.0,23.642857142857142,7125.0,16.2,236583.0,194000.0,4388.0,19.7,1597.0,63.1,186.1090909090909,4643.0,261.57142857142856,35.07142857142857,0.9285714285714286,0.0,0.0,0.0,98.28571428571429,159.57142857142858,81.92857142857143,11.785714285714286
46,Wisconsin,50888.666666666664,5778708.0,10.821428571428571,16.107142857142858,5260.0,11.8,532255.0,209000.0,5179.0,10.3,2761.0,38.1,290.90277777777777,14451.0,246.28571428571428,35.82142857142857,3.892857142857143,0.25,0.0,0.0,119.0,188.42857142857142,82.82142857142857,0.2857142857142857
47,Wyoming,57193.69565217391,585501.0,16.235294117647058,17.58823529411765,4487.0,13.9,62611.0,32000.0,570.0,7.7,361.0,55.9,69.52380952380952,1347.0,286.6111111111111,43.0,0.2222222222222222,0.05555555555555555,0.0,0.0,95.94444444444444,266.55555555555554,16.055555555555557,44.44444444444444
